###Formula	Mass	Compound name	KEGG	CAS	Polarity	Ion Species	CCS	Z	Gas	CCS Standard	Notes
#Formula	Mass	Cpd	KEGG	CAS	Polarity	Ion Species	CCS	Z	Gas	CCS Standard	Notes
C16H10	202.0783	Fluoranthene	C19425	206-44-0	positive	(M)+	138.34		N2		
C16H14	206.1095	2, 3-Dimethylanthracene		613-06-9	positive	(M+H)+	146.15		N2		
C16H14	206.1095	3,6-Dimethylphenanthrene		1576-67-6	positive	(M+H)+	145.58		N2		
C16H14	206.1095	3,6-Dimethylphenanthrene		1576-67-6	positive	(M)+	144.44		N2		
C14H8O2	208.0524	Anthraquinone	C16207	84-65-1	positive	(M+H)+	141.89		N2		
C18H12	228.0939	Triphenylene	C19541	217-59-4	positive	(M)+	144.81		N2		
C17H10O	230.0732	Benzanthrone		82-05-3	positive	(M+H)+	145.71		N2		
C17H10O	230.0732	Benzanthrone		82-05-3	positive	(M)+	144.61		N2		
C16H8O2	232.0524	Pyrene-4,5 dione	C18251	6217-22-7	positive	(M+H)+	144.3		N2		
C20H12	252.0939	Benz(j)aceanthrylene	C19195	202-33-5	positive	(M+H)+	155.08		N2		
C20H12	252.0939	Benz(j)aceanthrylene	C19195	202-33-5	positive	(M)+	152.68		N2		
C20H12	252.0939	Benzo(b)fluoranthene	C14320	205-99-2	positive	(M)+	151.95		N2		
C20H12	252.0939	Benzo(k)fluoranthene	C14321	207-08-9	positive	(M+H)+	154.36		N2		
C20H12	252.0939	Benzo(k)fluoranthene	C14321	207-08-9	positive	(M)+	152.98		N2		
C20H12	252.0939	Benzo(a)Pyrene		50-32-8	positive	(M+H)+	152.05		N2		
C20H12	252.0939	Benzo(a)Pyrene		50-32-8	positive	(M)+	151.24		N2		
C18H10O2	258.0681	5, 12-naphthacene quinone		1090-13-7	positive	(M+H)+	157.54		N2		
C22H12	276.0939	Benzo(g,h,i)perylene	C14318	191-24-2	positive	(M+H)+	157.31		N2		
C22H12	276.0939	Benzo(g,h,i)perylene	C14318	191-24-2	positive	(M)+	155.83		N2		
C22H12	276.0939	Indeno(1,2,3-cd)pyrene	C19251	193-39-5	positive	(M+H)+	159.65		N2		
C22H12	276.0939	Indeno(1,2,3-cd)pyrene	C19251	193-39-5	positive	(M)+	158.15		N2		
C24H12	300.0939	Coronene	C19375	191-07-1	positive	(M)+	161.87		N2		
C24H14	302.1095	Dibenzo(a,h)pyrene	C19222	189-64-0	positive	(M+H)+	166.49		N2		
C24H14	302.1095	Dibenzo(a,h)pyrene	C19222	189-64-0	positive	(M)+	165.22		N2		
C24H14	302.1095	Dibenzochrysene		191-68-4	positive	(M+H)+	166.69		N2		
C24H14	302.1095	Dibenzochrysene		191-68-4	positive	(M)+	165.45		N2		
C10H8O2	160.0524268	1, 5 dihydroxynaphthalene		83-56-7	negative	(M-H)-	134.35		N2		
C20H12O	268.088102	12-Hydroxybenzo(a)pyrene		56892-33-2	negative	(M-H)-	163.98		N2		
C20H12O	268.088102	7-hydroxybenzo(a)pyrene		37994-82-4	negative	(M-H)-	164.08		N2		
C18H12O	244.088102	6-Hydroxychrysene		37515-51-8	negative	(M-H)-	158.68		N2		
C16H10O	218.073161	1-Hydroxypyrene		5315-79-7	negative	(M-H)-	149.26		N2		
C10H8O2	160.0524268	2, 3-dihydroxynaphthalene		92-44-4	negative	(M-H)-	132.44		N2		
C5H9NO3	131.0576	Trans-4-Hydroxy-L-proline	C01157	51-35-4	positive	(M+H)+	130.23		N2		
C15H22N6O5S	398.1371	S-Adenosyl-L-methionine	C00019	29908-03-0	positive	(M+H)+	186.46		N2		
C6H9NO5	175.0474	N-Acetyl-L-aspartic acid	C01042	997-55-7	positive	(M+Na)+	143.7		N2		
C8H13NO6	219.0736	O-Succinyl-L-homoserine	C01118	1492-23-5	positive	(M+H)+	147.46		N2		
C8H13NO6	219.0736	O-Succinyl-L-homoserine	C01118	1492-23-5	positive	(M+Na)+	147.22		N2		
C7H11N3O2	169.0845	N(pi)-Methyl-L-histidine	C01152	368-16-1	positive	(M+H)+	134.65		N2		
C5H11NO2Se	196.9948	L-Selenomethionine	C05335	3211-76-5	positive	(M+H)+	137.67		N2		
C9H14N4O3	226.1059	Carnosine	C00386	305-84-0	positive	(M+H)+	152.18		N2		
C9H14N4O3	226.1059	Carnosine	C00386	305-84-0	negative	(M-H)-	154.93		N2		
C4H9NO2S	135.0348	Homocysteine	C05330	454-29-5	positive	(M+H)+	130.53		N2		
C4H9NO2S	135.0348	Homocysteine	C05330	454-29-5	negative	(M-H)-	159.62		N2		
C5H11NO2	117.0783	Betaine	C00719	107-43-7	positive	(M+H)+	122.15		N2		
C5H11NO2	117.0783	Betaine	C00719	107-43-7	positive	(M+Na)+	135.56		N2		
C4H9NO2	103.1203	N,N-Dimethylglycine	C01026	1118-68-9	positive	(M+H)+	123.9		N2		
C5H9NO2	115.0633	L-Proline	C00148	147-85-3	positive	(M+H)+	129.86		N2		
C5H9NO2	115.0633	L-Proline	C00148	147-85-3	negative	(M-H)-	133.51		N2		
C5H11NO2	117.079	L-Valine	C00183	72-18-4	positive	(M+H)+	134.28		N2		
C5H11NO2	117.079	L-Valine	C00183	72-18-4	positive	(M+Na)+	144.07		N2		
C5H11NO2	117.079	L-Valine	C00183	72-18-4	negative	(M-H)-	132.88		N2		
C4H9NO3	119.0582	L-Threonine	C00188	72-19-5	negative	(M-H)-	141.36		N2		
C6H13NO2	131.0946	L-Leucine	C00123	61-90-5	positive	(M+H)+	139.65		N2		
C6H13NO2	131.0946	L-Leucine	C00123	61-90-5	negative	(M-H)-	138.71		N2		
C4H8N2O3	132.0535	L-Asparagine	C00152	70-47-3	positive	(M+H)+	131.54		N2		
C4H8N2O3	132.0535	L-Asparagine	C00152	70-47-3	positive	(M+Na)+	131.94		N2		
C4H8N2O3	132.0535	L-Asparagine	C00152	70-47-3	negative	(M-H)-	127.11		N2		
C5H12N2O2	132.0899	L-Ornithine	C00077	70-26-8	positive	(M+H)+	129.79		N2		
C5H12N2O2	132.0899	L-Ornithine	C00077	70-26-8	negative	(M-H)-	136.8		N2		
C4H7NO4	133.0375	L-Aspartic Acid	C00049	56-84-8	negative	(M-H)-	121.92		N2		
C5H10N2O3	146.0691	Glutamine	C00064	56-85-9	positive	(M+H)+	133.45		N2		
C5H10N2O3	146.0691	Glutamine	C00064	56-85-9	positive	(M+Na)+	138.11		N2		
C5H10N2O3	146.0691	Glutamine	C00064	56-85-9	negative	(M-H)-	132.11		N2		
C6H14N2O2	146.1055	L-Lysine	C00047	56-87-1	positive	(M+H)+	133.11		N2		
C6H14N2O2	146.1055	L-Lysine	C00047	56-87-1	negative	(M-H)-	141.76		N2		
C4H7NO4	133.0368	D-Aspartic acid	C16433	617-45-8	negative	(M-H)-	121.85		N2		
C5H9NO4	147.0532	L-Glutamic Acid	C00025	56-86-0	positive	(M+H)+	134.59		N2		
C5H9NO4	147.0532	L-Glutamic Acid	C00025	56-86-0	negative	(M-H)-	127.72		N2		
C6H9N3O2	155.0694	L-Histidine	C00135	71-00-1	positive	(M+H)+	133.51		N2		
C6H9N3O2	155.0694	L-Histidine	C00135	71-00-1	positive	(M+Na)+	137		N2		
C6H9N3O2	155.0694	L-Histidine	C00135	71-00-1	negative	(M-H)-	131.47		N2		
C9H11NO2	165.079	L-Phenylalanine	C00079	63-91-2	positive	(M+H)+	145.24		N2		
C9H11NO2	165.079	L-Phenylalanine	C00079	63-91-2	positive	(M+Na)+	141.89		N2		
C9H11NO2	165.079	L-Phenylalanine	C00079	63-91-2	negative	(M-H)-	146.52		N2		
C6H14N4O2	174.1117	L-Arginine	C00062	74-79-3	positive	(M+H)+	137.87		N2		
C6H14N4O2	174.1117	L-Arginine	C00062	74-79-3	negative	(M-H)-	132.24		N2		
C6H13N3O3	175.0957	L-Citrulline	C00327	372-75-8	negative	(M-H)-	139.51		N2		
C9H11NO3	181.0739	L-Tyrosine	C00082	60-18-4	positive	(M+H)+	148.49		N2		
C9H11NO3	181.0739	L-Tyrosine	C00082	60-18-4	negative	(M-H)-	148.26		N2		
C8H10N2O4	198.0641	L-Mimosine	C04771	500-44-7	positive	(M+H)+	143.47		N2		
C13H14N2O3	246.0998	N-Acetyl-D-tryptophan	C03137	2280-01-5	positive	(M+H)+	155.67		N2		
C13H14N2O3	246.0998	N-Acetyl-D-tryptophan	C03137	2280-01-5	positive	(M+Na)+	162.74		N2		
C13H14N2O3	246.0998	N-Acetyl-D-tryptophan	C03137	2280-01-5	negative	(M-H)-	161.97		N2		
C7H14N2O4S	222.0674	L-Cystathionine	C00542	535-34-2	negative	(M-H)-	144.41		N2		
C13H16N2O4	264.111	Phenylacetyl L-Glutamine	C04148	28047-15-6	positive	(M+H)+	160.93		N2		
C13H16N2O4	264.111	Phenylacetyl L-Glutamine	C04148	28047-15-6	positive	(M+Na)+	171.25		N2		
C13H16N2O4	264.111	Phenylacetyl L-Glutamine	C04148	28047-15-6	negative	(M-H)-	169.17		N2		
C8H15NO6	221.0893	N-Acetyl-D-mannosamine	C00645	3615-17-6	positive	(M+Na)+	154.76		N2		
C6H10O7	194.042	D-Glucuronate	C00191	6556-12-3	positive	(M+Na)+	152.68		N2		
C6H10O7	194.042	D-Glucuronate	C00191	6556-12-3	negative	(M-H)-	134.25		N2		
C6H12O5	164.0678	6-Deoxy-L-galactose	C01019	2438-80-4	positive	(M+Na)+	147.32		N2		
C6H13O9P	260.0291	Fructose-1-phosphate	C01094	15978-08-2	positive	(M+Na)+	159.68		N2		
C6H13O9P	260.0291	Fructose-1-phosphate	C01094	15978-08-2	negative	(M-H)-	147.56		N2		
C6H13O9P	260.0291	Fructose-6-phosphate	C00085	643-13-0	negative	(M-H)-	148.02		N2		
C6H13O9P	260.0291	Glucose-1-phosphate	C00103	59-56-3	positive	(M+Na)+	161.61		N2		
C6H13O9P	260.0291	Glucose-1-phosphate	C00103	59-56-3	negative	(M-H)-	151.78		N2		
C5H10O5	150.0528	D-Arabinose	C00216	10323-20-3	positive	(M+Na)+	143.27		N2		
C5H10O5	150.0528	D-(-)-Ribose	C00121	50-69-1	positive	(M+Na)+	137.6		N2		
C5H10O5	150.0528	L-Ribulose	C00508	2042-27-5	positive	(M+Na)+	132.81		N2		
C5H10O5	150.0528	D-(+)-Xylose	C00181	58-86-6	positive	(M+Na)+	132.07		N2		
C6H12O6	180.0634	D-Galactose	C00124	59-23-4	positive	(M+Na)+	142.39		N2		
C6H12O6	180.0634	D-Fructose	C10906	57-48-7	positive	(M+Na)+	141.93		N2		
C6H12O6	180.0634	D-Mannose	C00159	3458-28-4	positive	(M+Na)+	141.82		N2		
C4H9O7P	200.0086	D-Erythrose 4-Phosphate	C00279	585-18-2	positive	(M+Na)+	153.89		N2		
C4H9O7P	200.0086	D-Erythrose 4-Phosphate	C00279	585-18-2	negative	(M-H)-	149.16		N2		
C7H14O7	210.0739	D-Sedoheptulose	C08355	3019-74-7	positive	(M+Na)+	151.95		N2		
C7H14O7	210.0739	D-Sedoheptulose	C08355	3019-74-7	negative	(M-H)-	150.44		N2		
C5H11O8P	230.0192	D-Ribose 5-Phosphate	C00117	4300-28-1	positive	(M+Na)+	155.8		N2		
C5H11O8P	230.0192	D-Ribose 5-Phosphate	C00117	4300-28-1	negative	(M-H)-	141.66		N2		
C6H13O9P	260.0297	α-D-Glucose 1-Phosphate	C00103	59-56-3	positive	(M+Na)+	161.83		N2		
C6H13O9P	260.0297	α-D-Glucose 1-Phosphate	C00103	59-56-3	negative	(M-H)-	150.91		N2		
C10H18O9	282.0951	1,4-D Xylobiose	C01630	6860-47-5	positive	(M+Na)+	168.1		N2		
C10H18O9	282.0951	Xylobiose	C01630	6860-47-5	positive	(M+Na)+	163.84		N2		
C10H18O9	282.0951	Xylobiose	C01630	6860-47-5	negative	(M-H)-	164.61		N2		
C12H22O11	342.1162	B-Gentiobiose	C08240	554-91-6	positive	(M+Na)+	181.03		N2		
C12H22O11	342.1162	B-Gentiobiose	C08240	554-91-6	negative	(M-H)-	178.35		N2		
C12H22O11	342.1162	Isomaltose	C00252	499-40-1	positive	(M+Na)+	178.02		N2		
C12H22O11	342.1162	Isomaltose	C00252	499-40-1	negative	(M-H)-	180.77		N2		
C12H22O11	342.1162	Lactulose	C07064	4618-18-2	positive	(M+Na)+	180.3		N2		
C12H22O11	342.1162	D-Maltose	C00208	69-79-4	positive	(M+Na)+	179.19		N2		
C12H22O11	342.1162	D-Maltose	C00208	69-79-4	negative	(M-H)-	205.9		N2		
C12H22O11	342.1162	Maltulose	C19633	17606-72-3	positive	(M+Na)+	181.27		N2		
C12H22O11	342.1162	Maltulose	C19633	17606-72-3	negative	(M-H)-	180.6		N2		
C12H22O11	342.1162	Melibiose	C05402	585-99-9	positive	(M+Na)+	181.14		N2		
C12H22O11	342.1162	Palatinose	C01742	13718-94-0	positive	(M+Na)+	177.31		N2		
C12H22O11	342.1162	Sucrose	C00089	57-50-1	positive	(M+Na)+	173.93		N2		
C12H22O11	342.1162	Sucrose	C00089	57-50-1	negative	(M-H)-	168.47		N2		
C12H22O11	342.1162	D-(+)-Turanose	C19636	547-25-1	positive	(M+Na)+	177.42		N2		
C12H23O14P	422.0825	Trehalose 6-Phosphate	C00689	4484-88-2	positive	(M+Na)+	192.43		N2		
C12H23O14P	422.0825	Trehalose 6-Phosphate	C00689	4484-88-2	negative	(M-H)-	181.54		N2		
C18H32O16	504.169	Isomaltotriose	C02160	3371-50-4	positive	(M+Na)+	210.83		N2		
C18H32O16	504.169	Isomaltotriose	C02160	3371-50-4	negative	(M-H)-	202.92		N2		
C18H32O16	504.169	Maltotriose	C01835	1109-28-0	positive	(M+Na)+	212.54		N2		
C18H32O16	504.169	Maltotriose	C01835	1109-28-0	negative	(M-H)-	213.01		N2		
C18H32O16	504.169	Melezitose	C08243	597-12-6	negative	(M-H)-	203.52		N2		
C18H32O16	504.169	Raffinose	C00492	512-69-6	positive	(M+Na)+	208.72		N2		
C18H32O16	504.169	Raffinose	C00492	512-69-6	negative	(M-H)-	197.59		N2		
C24H42O21	666.2218	Cellotetraose	C02013	38819-01-1	positive	(M+Na)+	225		N2		
C24H42O21	666.2218	Cellotetraose	C02013	38819-01-1	negative	(M-H)-	194.74		N2		
C24H42O21	666.2218	Maltotetraose	C02052	34612-38-9	positive	(M+Na)+	230.47		N2		
C24H42O21	666.2218	Maltotetraose	C02052	34612-38-9	negative	(M-H)-	221.08		N2		
C16H30O2	254.22396	Palmitoleic acid	C08362	373-49-9	positive	(M+Na)+	172.62		N2		
C16H30O2	254.22396	Palmitoleic acid	C08362	373-49-9	negative	(M-H)-	167.86		N2		
C18H34O2	282.25526	Oleic acid	C00712	112-80-1	positive	(M+Na)+	181.37		N2		
C18H34O2	282.25526	Oleic acid	C00712	112-80-1	negative	(M-H)-	176.07		N2		
C20H32O2	304.23956	Arachidonic acid	C00219	506-32-1	positive	(M+Na)+	180.97		N2		
C20H32O2	304.23956	Arachidonic acid	C00219	506-32-1	negative	(M-H)-	182.21		N2		
C12H24O2	200.17706	Lauric Acid	C02679	143-07-7	negative	(M-H)-	154.96		N2		
C18H32O2	280.23966	Linoleic acid	C01595	60-33-3	positive	(M+Na)+	176.38		N2		
C18H32O2	280.23966	Linoleic acid	C01595	60-33-3	negative	(M-H)-	175.37		N2		
C16H32O2	256.23966	Palmitic Acid	C00249	57-10-3	positive	(M+Na)+	185.22		N2		
C16H32O2	256.23966	Palmitic Acid	C00249	57-10-3	negative	(M-H)-	169.17		N2		
C18H36O2	284.27096	Stearic Acid	C01530	57-11-4	positive	(M+Na)+	191.83		N2		
C18H36O2	284.27096	Stearic Acid	C01530	57-11-4	negative	(M-H)-	177.95		N2		
C18H30O2	278.22396	Linlenic Acid	C06427	463-40-1	positive	(M+Na)+	172.02		N2		
C18H30O2	278.22396	Linlenic Acid	C06427	463-40-1	negative	(M-H)-	174.53		N2		
C20H40O2	312.30226	Arachidic Acid	C06425	506-30-9	positive	(M+Na)+	199.97		N2		
C20H40O2	312.30226	Arachidic Acid	C06425	506-30-9	negative	(M-H)-	186.36		N2		
C20H34O2	306.25526	Bishomo-gamma-linolenic acid	C03242	1783-84-2	positive	(M+Na)+	183.38		N2		
C20H34O2	306.25526	Bishomo-gamma-linolenic acid	C03242	1783-84-2	negative	(M-H)-	182.64		N2		
C24H48O2	368.36486	Lignoceric acid	C08320	557-59-5	positive	(M+Na)+	216.86		N2		
C24H48O2	368.36486	Lignoceric acid	C08320	557-59-5	negative	(M-H)-	200.57		N2		
C22H36O2	332.2709	Adrenic acid	C16527	28874-58-0	positive	(M+H)+	189.41		N2		
C22H36O2	332.2709	Adrenic acid	C16527	28874-58-0	positive	(M+Na)+	192.83		N2		
C22H36O2	332.2709	Adrenic acid	C16527	28874-58-0	negative	(M-H)-	190.92		N2		
C21H30O5	362.2087	Cortisol	C00735	50-23-7	positive	(M+H)+	188.88		N2		
C21H30O5	362.2087	Cortisol	C00735	50-23-7	positive	(M+Na)+	213.91		N2		
C21H30O5	362.2087	Cortisol	C00735	50-23-7	negative	(M-H)-	264.15		N2		
C21H30O2	314.2239	Progesterone	C00410	57-83-0	positive	(M+H)+	186.73		N2		
C21H30O3	330.2194	17α-Hydroxyprogesterone	C01176	68-96-2	positive	(M+H)+	187.57		N2		
C21H30O3	330.2194	17α-Hydroxyprogesterone	C01176	68-96-2	positive	(M+Na)+	210.26		N2		
C21H30O3	330.2194	17α-Hydroxyprogesterone	C01176	68-96-2	negative	(M-H)-	187.64		N2		
C21H32O3	332.235	17α-Hydroxypregnenolone	C05138	387-79-1	positive	(M+H)+	190.45		N2		
C21H32O3	332.235	17α-Hydroxypregnenolone	C05138	387-79-1	positive	(M+Na)+	210.49		N2		
C21H28O5	360.1937	Aldosterone	C01780	52-39-1	positive	(M+H)+	196.05		N2		
C21H28O5	360.1937	Aldosterone	C01780	52-39-1	positive	(M+Na)+	204.09		N2		
C21H28O5	360.1937	Aldosterone	C01780	52-39-1	negative	(M-H)-	188.31		N2		
C19H26O2	286.1933	Androstenedione	C00280	63-05-8	positive	(M+H)+	183.95		N2		
C19H26O2	286.1933	Androstenedione	C00280	63-05-8	positive	(M+Na)+	204.73		N2		
C21H32O2	316.2402	Pregnenolone	C01953	145-13-1	positive	(M+H)+	177.25		N2		
C21H32O2	316.2402	Pregnenolone	C01953	145-13-1	positive	(M+Na)+	216.16		N2		
C19H24O3	300.1725	2-Methoxyestrone	C05299	362-08-3	positive	(M+H)+	174.47		N2		
C19H24O3	300.1725	2-Methoxyestrone	C05299	362-08-3	positive	(M+Na)+	201.71		N2		
C19H24O3	300.1725	2-Methoxyestrone	C05299	362-08-3	negative	(M-H)-	184.55		N2		
C19H28O2	288.2089	Testosterone	C00535	58-22-0	positive	(M+H)+	183.82		N2		
C19H28O2	288.2089	Testosterone	C00535	58-22-0	positive	(M+Na)+	206.07		N2		
C20H32O4	336.2294	LTB4	C02165	71160-24-2	positive	(M+Na)+	196.05		N2		
C20H32O4	336.2294	LTB4	C02165	71160-24-2	negative	(M-H)-	187.44		N2		
C20H32O5	352.225	LXA4	C06314	89663-86-5	positive	(M+Na)+	197.89		N2		
C20H32O5	352.225	LXA4	C06314	89663-86-5	negative	(M-H)-	194		N2		
C20H32O5	352.225	PGE2	C00584	363-24-6	positive	(M+Na)+	198.53		N2		
C20H32O5	352.225	PGE2	C00584	363-24-6	negative	(M-H)-	192.06		N2		
C20H32O3	320.2345	5S-HETE	C04805	70608-72-9	positive	(M+Na)+	188.21		N2		
C20H32O3	320.2345	5S-HETE	C04805	70608-72-9	negative	(M-H)-	187.2		N2		
C20H32O3	320.2345	12S-HETE	C14777	54397-83-0	positive	(M+Na)+	193.33		N2		
C20H32O3	320.2345	12S-HETE	C14777	54397-83-0	negative	(M-H)-	184.82		N2		
C20H32O3	320.2351	8S-HETE	C14776	98462-03-4	positive	(M+Na)+	187.23		N2		
C20H34O6	370.2349	TXB2	C05963	54397-85-2	positive	(M+Na)+	202.08		N2		
C20H34O6	370.2349	TXB2	C05963	54397-85-2	negative	(M-H)-	194.44		N2		
C10H14N5O7P	347.0624	2'-Deoxyguanosine 5'-Monophosphate	C00362	902-04-5	positive	(M+H)+	178.96		N2		
C10H14N5O7P	347.0624	2'-Deoxyguanosine 5'-Monophosphate	C00362	902-04-5	positive	(M+Na)+	172.39		N2		
C10H14N5O6P	331.0675	2′-Deoxyadenosine 5′-Monophosphate	C00360	653-63-4	positive	(M+H)+	170.01		N2		
C10H14N5O6P	331.0675	2′-Deoxyadenosine 5′-Monophosphate	C00360	653-63-4	positive	(M+Na)+	176.68		N2		
C10H14N5O6P	331.0675	2′-Deoxyadenosine 5′-Monophosphate	C00360	653-63-4	negative	(M-H)-	174.57		N2		
C11H15N2O8P	334.056	Nicotinamide Mononucleotide	C00455	1094-61-7	positive	(M+H)+	167.13		N2		
C10H14N5O7P	347.0631	Adenosine 5' Monophosphate	C00020	61-19-8	positive	(M+H)+	173.33		N2		
C10H14N5O7P	347.0631	Adenosine 5' Monophosphate	C00020	61-19-8	positive	(M+Na)+	180.73		N2		
C10H14N5O7P	347.0631	Adenosine 5' Monophosphate	C00020	61-19-8	negative	(M-H)-	176.11		N2		
C10H15N5O10P2	427.0294	Adenosine 5' Diphosphate	C00008	58-64-0	positive	(M+H)+	188.61		N2		
C10H15N5O10P2	427.0294	Adenosine 5' Diphosphate	C00008	58-64-0	positive	(M+Na)+	196.92		N2		
C10H15N5O10P2	427.0294	Adenosine 5' Diphosphate	C00008	58-64-0	negative	(M-H)-	186.87		N2		
C10H16N5O13P3	506.9957	Adenosine 5' Triphosphate (ATP)	C00002	56-65-5	positive	(M+Na)+	204.59		N2		
C10H16N5O13P3	506.9957	Adenosine 5' Triphosphate (ATP)	C00002	56-65-5	negative	(M-H)-	198.86		N2		
C27H33N9O15P2	785.1571	Flavin Adenine Dinucleotide	C00016	146-14-5	negative	(M-H)-	259.22		N2		
C10H13N4O8P	348.0471	Inosine 5′-Monophosphate	C00130	131-99-7	positive	(M+H)+	177.58		N2		
C10H13N4O8P	348.0471	Inosine 5′-Monophosphate	C00130	131-99-7	positive	(M+Na)+	174.57		N2		
C10H13N4O8P	348.0471	Inosine 5′-Monophosphate	C00130	131-99-7	negative	(M-H)-	174.37		N2		
C9H14N3O8P	323.0512	Cytidine 3'-monophosphate	C05822	84-52-6	positive	(M+H)+	170.98		N2		
C9H14N3O8P	323.0512	Cytidine 3'-monophosphate	C05822	84-52-6	positive	(M+Na)+	174.9		N2		
C9H14N3O8P	323.0512	Cytidine 3'-monophosphate	C05822	84-52-6	negative	(M-H)-	170.38		N2		
C9H14N3O8P	323.0518	Cytidine-5' Monophosphate	C00055	63-37-6	positive	(M+H)+	168.8		N2		
C9H14N3O8P	323.0518	Cytidine-5' Monophosphate	C00055	63-37-6	positive	(M+Na)+	171.62		N2		
C9H14N3O8P	323.0518	Cytidine-5' Monophosphate	C00055	63-37-6	negative	(M-H)-	168.43		N2		
C9H13N2O9P	324.0352	Uridine 5'-Monophosphate	C00105	58-97-9	positive	(M+H)+	169.81		N2		
C9H13N2O9P	324.0352	Uridine 5'-Monophosphate	C00105	58-97-9	positive	(M+Na)+	175.14		N2		
C9H13N2O9P	324.0352	Uridine 5'-Monophosphate	C00105	58-97-9	negative	(M-H)-	163.88		N2		
C9H16N3O14P3	482.9845	Cytidine 5' Triphosphate	C00063	65-47-4	positive	(M+Na)+	204.9		N2		
C9H16N3O14P3	482.9845	Cytidine 5' Triphosphate	C00063	65-47-4	negative	(M-H)-	192.16		N2		
C17H21N4O9P	456.1046	Riboflavin 5'-Monophosphate	C00061	146-17-8	positive	(M+H)+	201.48		N2		
C17H21N4O9P	456.1046	Riboflavin 5'-Monophosphate	C00061	146-17-8	positive	(M+Na)+	210.66		N2		
C17H21N4O9P	456.1046	Riboflavin 5'-Monophosphate	C00061	146-17-8	negative	(M-H)-	200.77		N2		
C10H13N5O5	283.091	Guanosine	C00387	118-00-3	positive	(M+H)+	165.02		N2		
C10H13N5O5	283.091	Guanosine	C00387	118-00-3	positive	(M+Na)+	177.25		N2		
C10H13N5O5	283.091	Guanosine	C00387	118-00-3	negative	(M-H)-	164.38		N2		
C5H5N5O	151.0487	Guanine	C00242	73-40-5	positive	(M+H)+	133.55		N2		
C10H13N5O4	267.0961	Adenosine	C00212	58-61-7	positive	(M+Na)+	168.17		N2		
C4H4N2O2	112.0266	Uracil	C00106	66-22-8	positive	(M+H)+	126.98		N2		
C11H15N5O3S	297.0889	5'-Methylthioadenosine	C00170	2457-80-9	positive	(M+H)+	173.03		N2		
C11H15N5O3S	297.0889	5'-Methylthioadenosine	C00170	2457-80-9	positive	(M+Na)+	176.54		N2		
C11H15N5O3S	297.0889	5'-Methylthioadenosine	C00170	2457-80-9	negative	(M-H)-	170.34		N2		
C5H6N2O3	142.0372	5-Hydroxymethyluracil	C03088	4433-40-3	positive	(M+Na)+	142.06		N2		
C5H6N2O3	142.0372	5-Hydroxymethyluracil	C03088	4433-40-3	negative	(M-H)-	124.5		N2		
C9H12N2O5	228.074	Deoxyuridine	C00526	951-78-0	positive	(M+Na)+	159.45		N2		
C9H12N2O5	228.074	Deoxyuridine	C00526	951-78-0	negative	(M-H)-	151.64		N2		
C9H13N3O4	227.09	Deoxycytidine	C00881	951-77-9	positive	(M+Na)+	158.41		N2		
C10H14N2O5	242.0896	Thymidine	C00214	50-89-5	positive	(M+Na)+	164.51		N2		
C10H14N2O5	242.0896	Thymidine	C00214	50-89-5	negative	(M-H)-	157.04		N2		
C10H13N5O3	251.1018	5'-Deoxyadenosine	C05198	4754-39-6	positive	(M+H)+	162.1		N2		
C10H13N5O3	251.1018	5'-Deoxyadenosine	C05198	4754-39-6	positive	(M+Na)+	171.99		N2		
C10H13N5O3	251.1018	5'-Deoxyadenosine	C05198	4754-39-6	negative	(M-H)-	160.19		N2		
C5H6N2O2	126.0423	Thymine	C00178	65-71-4	positive	(M+H)+	126.14		N2		
C5H6N2O2	126.0423	Thymine	C00178	65-71-4	negative	(M-H)-	122.42		N2		
C10H12N4O5	268.0808	Inosine	C00294	58-63-9	positive	(M+H)+	159.25		N2		
C10H12N4O5	268.0808	Inosine	C00294	58-63-9	positive	(M+Na)+	175.37		N2		
C10H12N4O5	268.0808	Inosine	C00294	58-63-9	negative	(M-H)-	161.7		N2		
C9H12N2O6	244.0689	Uridine	C00299	58-96-8	positive	(M+Na)+	165.15		N2		
C9H12N2O6	244.0689	Uridine	C00299	58-96-8	negative	(M-H)-	153.86		N2		
C10H12N4O6	284.0757	Xanthosine	C01762	146-80-5	positive	(M+H)+	166.49		N2		
C10H12N4O6	284.0757	Xanthosine	C01762	146-80-5	positive	(M+Na)+	177.45		N2		
C10H12N4O6	284.0757	Xanthosine	C01762	146-80-5	negative	(M-H)-	161.36		N2		
C29H50O2	430.3805	α-Tocopherol	C02477	59-02-9	positive	(M+H)+	215.55		N2		
C29H50O2	430.3805	α-Tocopherol	C02477	59-02-9	negative	(M-H)-	210.73		N2		
C28H48O2	416.3648	γ- + β-Tocopherol	C02483	54-28-4	positive	(M+H)+	212.23		N2		
C28H48O2	416.3648	γ- + β-Tocopherol	C02483	54-28-4	negative	(M-H)-	209.75		N2		
C10H16N2O3S	244.0882	D-Biotin	C00120	58-85-5	positive	(M+H)+	154.16		N2		
C10H16N2O3S	244.0882	D-Biotin	C00120	58-85-5	positive	(M+Na)+	164.45		N2		
C10H16N2O3S	244.0882	D-Biotin	C00120	58-85-5	negative	(M-H)-	159.72		N2		
C6H5NO2	123.0314	Nicotinic acid	C00253	59-67-6	positive	(M+H)+	128.35		N2		
C6H5NO2	123.0314	Nicotinic acid	C00253	59-67-6	negative	(M-H)-	124.5		N2		
